
40,72750,1,-3990,0
34,64489,3,6655,0
42,49437,1,11196,0
50,37142,2,34585,1
33,60549,1,21056,0
33,55247,4,1826,0
51,63977,3,20339,0
43,59452,1,-326,0
30,66663,5,26404,0
41,39086,6,10611,0
30,71324,0,14448,0
30,51838,1,28874,0
38,84511,1,2317,0
16,36407,1,1200,1
18,78607,6,9468,0
29,51843,3,25953,0
25,37064,3,-42,0
38,39979,1,-13385,1
26,42825,5,10814,0
21,55780,0,21007,0
50,57497,3,27599,0
33,38416,4,10692,0
36,47976,7,11218,0
21,85677,0,27127,0
30,78461,4,-3603,0
36,55992,4,11451,0
24,49061,8,17335,0
39,50488,7,19965,0
29,59075,4,10218,0
32,30602,2,15750,1
29,43921,6,-9890,0
54,19364,1,8709,1
35,55346,5,20009,0
25,59661,5,5416,0
43,39992,6,15999,0
23,75789,11,19941,0
37,27070,4,11918,0
16,22918,2,17132,1
22,52305,3,5615,0
37,66620,1,13300,0
42,77702,1,21602,0
37,40414,2,16995,1
34,67170,2,9438,0
32,47729,4,17678,0
20,45396,1,22663,0
28,63776,6,-5434,0
31,59751,3,27180,0
46,20968,3,11982,0
39,74093,2,19724,0
18,72415,4,27568,0
38,37514,6,1458,0
31,55287,1,8189,0
28,56996,1,12467,0
41,52936,2,7434,0
45,38824,0,33033,1
44,36712,1,6692,1
27,47955,2,9753,0
32,68806,6,17477,0
38,57859,4,3181,0
45,41950,4,11378,0
30,61828,6,18626,0
33,-1167,3,12016,0
24,68389,4,14450,0
23,18126,3,10020,0
43,42093,4,7,0
49,28916,2,18668,1
34,25871,2,33236,1
45,68599,3,15587,0
39,40261,7,17689,0
29,54429,6,22440,0
39,47583,6,2498,0
50,56701,7,32703,0
35,49736,4,17456,0
51,26074,4,31985,0
9,65736,2,7949,0
43,39808,2,33878,1
36,21313,5,23278,0
32,40950,7,21020,0
36,74514,3,17778,0
15,63194,2,12874,0
33,42333,3,27601,0
39,42322,5,16826,0
50,42803,0,-4592,1
30,84537,2,4045,0
27,55046,2,13511,0
30,55883,0,18550,0
44,66328,2,14824,0
38,52555,3,27789,0
30,43892,2,-4430,1
40,44983,7,16859,0
36,47154,4,-3077,0
45,47752,4,23121,0
28,61061,5,14439,0
32,49303,0,19664,0
31,61148,6,6619,0
21,46995,3,28404,0
38,49768,5,25987,0
38,13629,0,21330,1
35,64345,0,14083,0
33,54429,6,21293,0
21,65766,4,8215,0
31,-1998,1,24095,1
32,84740,1,32164,0
27,45970,6,26281,0
33,67683,0,7984,0
39,30304,8,19073,0
54,59062,1,2256,0
37,30069,5,21217,0
38,37545,2,19979,1
34,81706,5,-3604,0
16,45081,2,3592,0
35,52183,3,12522,0
36,63540,3,12342,0
60,57025,1,3107,0
33,51017,5,19353,0
38,54750,2,17955,0
35,90222,3,13425,0
23,47397,1,7718,0
46,51899,3,26058,0
43,66682,3,32224,0
43,67637,10,10485,0
26,69055,5,9178,0
49,59514,3,20392,0
21,28510,3,11761,0
41,76823,3,13983,0
57,28452,5,22917,0
25,53666,0,-4006,0
29,35274,6,28798,0
36,47283,5,16138,0
30,54120,5,11217,0
20,53991,5,14493,0
36,55741,3,15018,0
25,76480,5,-2195,0
40,56292,5,30594,0
26,44151,2,15820,1
51,65176,2,19902,0
27,69098,4,25071,0
32,27038,8,5021,0
43,58795,0,20212,0
23,60601,0,12679,0
37,43222,4,24006,0
48,72338,3,-6220,0
19,45788,4,14392,0
37,50585,4,9273,0
38,45388,3,19793,0
43,48671,7,20177,0
23,29323,0,8207,1
22,23341,1,8161,1
40,76146,3,14275,0
38,33661,0,6286,1
38,31148,3,23957,0
39,10928,8,11647,0
28,37281,3,-14145,0
37,25376,4,11590,0
38,76972,0,4844,0
28,65971,2,-1179,0
54,36425,2,2823,1
40,87594,2,16511,0
23,65483,7,28903,0
42,42747,5,18583,0
25,4907,0,9235,1
43,88265,4,20033,0
47,24219,5,10733,0
27,19768,6,8340,0
45,66193,8,3667,0
39,90854,0,-2404,0
43,72487,1,11436,0
54,58212,0,17006,0
33,58749,3,14417,0
28,63250,5,11172,0
26,61606,6,5787,0
27,53293,3,21582,0
34,50213,2,2013,0
38,47310,4,23287,0
38,35280,1,5213,1
43,43515,9,7752,0
35,18940,0,492,1
50,46688,4,10303,0
32,31197,9,25312,0
62,29196,3,20640,0
41,51530,3,25344,0
27,72622,2,20706,0
24,64379,3,4182,0
40,21071,7,12037,0
33,31179,2,7470,1
42,64770,8,28923,0
40,31303,0,3236,1
34,44491,3,24483,0
27,57971,2,24475,0
20,31549,5,33995,0
31,50233,0,11236,0
44,25186,5,22639,0
37,37935,9,38589,0
23,53964,0,9122,0
37,20680,4,-201,0
39,56064,1,-3707,0
26,48058,4,22643,0
37,58013,3,-3739,0
36,52296,2,11615,0
24,72137,5,19844,0
39,50579,8,17282,0
41,40927,3,19724,0
46,50528,5,17659,0
46,57854,0,28397,0
21,49250,1,5720,0
26,49106,5,8519,0
40,36184,7,7546,0
40,36864,4,23837,0
40,23993,2,24551,1
73,78844,3,19986,0
41,26755,0,27428,1
46,36342,5,3426,0
45,35898,6,32345,0
42,63972,2,30881,0
32,43267,2,22876,1
43,70112,4,33509,0
27,36680,2,-1437,1
33,53254,3,10069,0
30,33864,9,7926,0
36,85728,3,22732,0
58,27734,2,4726,1
16,53791,2,23098,0
42,59428,5,29329,0
19,55600,3,22465,0
30,45175,1,18283,0
46,46140,7,5359,0
36,49162,7,6792,0
24,45841,2,28100,0
28,65172,1,23321,0
42,86865,6,15003,0
28,38699,1,11152,1
37,24563,5,-5189,0
36,46863,1,4516,0
29,93289,6,34827,0
56,34415,0,2385,1
41,76922,5,17325,0
15,77593,3,25639,0
37,38766,1,2645,1
29,58300,2,17277,0
44,76735,5,24932,0
27,41802,4,15527,0
34,44857,5,44553,0
40,38278,9,-1559,0
44,30742,0,26160,1
23,37101,8,13643,0
32,27102,4,23245,0
30,48993,1,19885,0
29,35001,0,7948,1
53,52468,3,17727,0
39,21325,6,-3483,0
23,54157,3,21531,0
44,62904,7,18430,0
56,13706,0,21891,1
45,54909,3,26154,0
20,69762,0,19136,0
30,27350,4,16905,0
48,77504,6,6445,0
28,55691,2,8161,0
40,36131,3,27461,0
43,47429,4,29998,0
26,58115,5,12979,0
35,49722,4,15867,0
3,57774,7,6205,0
25,32379,0,27319,1
33,51347,5,22163,0
23,23799,7,35129,0
51,46464,1,6473,0
21,32670,4,11558,0
31,35600,2,17752,1
36,69909,3,21970,0
49,67390,4,13208,0
21,58999,2,6527,0
47,29392,1,24358,1
35,42894,3,22729,0
25,69509,0,6087,0
40,50866,0,29176,0
37,88758,5,27293,0
29,55244,0,16764,0
36,51741,5,16209,0
31,43021,5,21031,0
36,50723,0,6641,0
42,45746,1,15705,0
51,60721,7,-6476,0
23,65047,1,24307,0
56,34722,2,-470,1
16,25235,5,30680,0
34,16447,5,12044,0
41,57239,3,13248,0
38,29200,2,9019,1
